scenario,strategy,annual_flow_kinzhal,annual_flow_cruise,annual_flow_shahed,capital_cost,total_cost,lives_saved,cost_per_life,pk_kinzhal,pk_cruise,pk_shahed
0,passive,99.07444741914139,2374.170734872919,9123.271623391147,537320288.5561537,869243875.7804508,199480.47989563335,4357.538523244141,0.7279413138565128,0.8956001495789162,0.9015652350809846
1,passive,29.520298967375858,3070.8826618249877,11730.974807535813,1060233994.5732503,1715181664.0936828,401570.49471641285,4271.18447859307,0.5131211612019695,0.9337969217876064,0.8758488904670713
2,passive,112.35928297310555,1822.070298325226,10495.664355831259,495851848.93165207,802158772.2593648,961686.7101752643,834.1165202471957,0.5804376231763442,0.7906151979522517,0.927804888801238
3,passive,106.66484216745664,4352.068779746281,10488.692916789856,713715774.0819755,1154605695.8610928,771581.0671679404,1496.4152763610828,0.3582240640486503,0.8309461220855241,0.9478273588044741
4,passive,289.4618812325295,1410.0569354745944,8670.918559999443,790186020.3665572,1278314579.8879962,387411.78213157895,3299.627525147995,0.6155006268737656,0.7702092773422058,0.9140518768899224
5,passive,96.84638210442726,1668.6751117482595,13167.652397540895,626618414.29887,1013704918.0558286,240844.4252194942,4208.96152000191,0.7686740648128042,0.5588450382066168,0.8423708562826949
6,passive,249.5676116757715,2094.3278663817564,10539.336364106859,857314142.0589648,1386910346.5406303,445113.9395833793,3115.8546682199167,0.26081239899260944,0.8739354024024976,0.894854255982318
7,passive,94.15034142341507,1830.2262298352439,13168.322514565883,764164414.783481,1236218419.045375,674637.460416157,1832.4188791455504,0.42719546187721,0.670756739826659,0.9336668862841964
8,passive,255.38964568940054,1827.7848092065358,8076.831938636124,262556970.1723606,424748596.37082875,466152.0675739846,911.1803334507691,0.5583519266648072,0.9201009672186051,0.9046103934831646
9,passive,50.795599027419044,1823.3318905028093,12682.108359644133,1024356541.3542238,1657141316.1793323,470162.9527628764,3524.6105769101305,0.8109177819310938,0.8234953078992456,0.9533100118317649
10,passive,129.8574187225721,1839.0315479547871,11063.415959520167,1897167613.6632495,3069121647.978586,268610.41001407226,11425.922203900429,0.5192476363806119,0.8110094762734379,0.9429398265885052
11,passive,206.24428505925988,1789.3170256585224,10270.373275157854,477174452.725443,771943623.839419,146298.45910991088,5276.498662637823,0.39721360562136715,0.5842643691324966,0.9360262527940182
12,passive,403.133169996699,2405.2670510423936,13173.735382638826,960287033.0177134,1553493587.0094035,766285.5733466379,2027.3037116237906,0.594947384016775,0.9613697304217784,0.8263957305263975
13,passive,136.82589035571095,4080.754814820379,21614.8810094721,594329111.1982205,961469259.7878735,811716.977516304,1184.4882963145385,0.7240581101129341,0.8167529532131893,0.9639621797693149
14,passive,239.14297280215794,787.8334357009207,16784.602412636035,1221288572.2153134,1975725902.350452,396754.7388805525,4979.715952290784,0.6338296697087121,0.7939714185645277,0.9288216637608898
15,passive,127.92377256440643,1265.383023356886,9125.831380542837,1391141089.746545,2250502909.2761545,379499.7609347646,5930.18267978043,0.5390696828113134,0.825943968660485,0.9103480264272968
16,passive,270.83281016592406,1341.2733448780507,5869.079228436139,920604632.118234,1489297827.6219702,257345.94766883136,5787.143108771585,0.3686087616947672,0.7543228841501157,0.9508954291002426
17,passive,302.1191735983002,2052.3309795374,12394.445085353918,984385667.4800714,1592478882.8696532,795556.1847481105,2001.7176830494568,0.5758261540884179,0.7905394664675072,0.9631922909563586
18,passive,186.954842280278,1146.2100362752567,9104.517450198742,499815483.42745346,808570897.5497863,320854.4375652982,2520.055211594919,0.3615990211004065,0.8556304998333334,0.9360683371846206
19,passive,244.11282680989044,1434.2796353232472,6539.932999057998,563868917.9209722,912192623.4403334,195233.4674041274,4672.316870509307,0.5092255363024294,0.9059247535993277,0.8797686664846592
20,passive,172.40049452174136,1640.180931302374,9042.291397601583,341180208.82023984,551940459.6677449,259692.39918298216,2125.362395681213,0.5381570586033921,0.7612739781927507,0.8096784653685031
21,passive,179.0583314340515,2821.094201676949,8152.605170227357,549312132.9467962,888643547.6668191,540395.9375848431,1644.4304737714658,0.5898811167574003,0.864922246596529,0.8460068586855013
22,passive,562.4001132171461,3055.186495020103,17494.0940124593,1192724197.1436725,1929516204.661129,1448574.666949777,1332.0101812384012,0.5925007376186777,0.6735057905496388,0.9536291809775038
23,passive,484.3268070909899,1962.6043093007497,9895.798957089808,572649983.5798322,926398094.0122721,800787.0301265242,1156.859513403834,0.37982497797668285,0.7032427268965302,0.9309345564038397
24,passive,87.61654195099887,1708.031565907965,13222.629256485841,1371712552.1982439,2219072610.367078,296068.0273049761,7495.144378022414,0.7318719924228413,0.6266242759940782,0.8112745430414348
25,passive,171.8942471291664,2821.5089660277786,5897.789118178246,700095528.4175782,1132571696.061427,271823.8334798883,4166.565093142298,0.33092489486432547,0.898621687539149,0.9431183789163254
26,passive,226.31814715205206,1687.4215335688475,10723.951925000145,1013883580.2506833,1640198800.7105756,187730.6599733619,8736.978823508702,0.43953838696086084,0.879318322031644,0.9675852533138994
27,passive,312.95807603365125,2583.275425661708,11184.976629302835,1178825915.406463,1907032415.1202505,997212.1862138743,1912.3637290882896,0.5347026462272362,0.8232106402692143,0.7816682664119686
